regiontype,regionid,regionparent
zip3,386,MS
zip3,387,MS
zip3,388,MS
zip3,389,MS
zip3,390,MS
zip3,391,MS
zip3,392,MS
zip3,393,MS
zip3,394,MS
zip3,395,MS
zip3,396,MS
zip3,397,MS
zip3,398,GA
zip3,400,KY
zip3,401,KY
zip3,402,KY
zip3,403,KY
zip3,404,KY
zip3,405,KY
zip3,406,KY
zip3,407,KY
zip3,408,KY
zip3,409,KY
zip3,410,KY
zip3,411,KY
zip3,412,KY
zip3,413,KY
zip3,414,KY
zip3,415,KY
zip3,416,KY
zip3,417,KY
zip3,418,KY
zip3,420,KY
zip3,421,KY
zip3,422,KY
zip3,423,KY
zip3,424,KY
zip3,425,KY
zip3,426,KY
zip3,427,KY
zip3,430,OH
zip3,431,OH
zip3,432,OH
zip3,433,OH
zip3,434,OH
zip3,435,OH
zip3,436,OH
zip3,437,OH
zip3,438,OH
zip3,439,OH
zip3,440,OH
zip3,441,OH
zip3,442,OH
zip3,443,OH
zip3,444,OH
zip3,445,OH
zip3,446,OH
zip3,447,OH
zip3,448,OH
zip3,449,OH
zip3,450,OH
zip3,451,OH
zip3,452,OH
zip3,453,OH
zip3,454,OH
zip3,455,OH
zip3,456,OH
zip3,457,OH
zip3,458,OH
zip3,460,IN
zip3,461,IN
zip3,462,IN
zip3,463,IN
zip3,464,IN
zip3,465,IN
zip3,466,IN
zip3,467,IN
zip3,468,IN
zip3,469,IN
zip3,470,IN
zip3,471,IN
zip3,472,IN
zip3,473,IN
zip3,474,IN
zip3,475,IN
zip3,476,IN
zip3,477,IN
zip3,478,IN
zip3,479,IN
zip3,480,MI
zip3,481,MI
zip3,482,MI
zip3,483,MI
zip3,484,MI
zip3,485,MI
zip3,486,MI
zip3,487,MI
zip3,488,MI
zip3,489,MI
zip3,490,MI
zip3,491,MI
zip3,492,MI
zip3,493,MI
zip3,494,MI
zip3,495,MI
zip3,496,MI
zip3,497,MI
zip3,498,MI
zip3,499,MI
zip3,500,IA
zip3,501,IA
zip3,502,IA
zip3,503,IA
zip3,504,IA
zip3,505,IA
zip3,506,IA
zip3,507,IA
zip3,508,IA
zip3,510,IA
zip3,511,IA
zip3,512,IA
zip3,513,IA
zip3,514,IA
zip3,515,IA
zip3,516,IA
zip3,520,IA
zip3,521,IA
zip3,522,IA
zip3,523,IA
zip3,524,IA
zip3,525,IA
zip3,526,IA
zip3,527,IA
zip3,528,IA
zip3,530,WI
zip3,531,WI
zip3,532,WI
zip3,534,WI
zip3,535,WI
zip3,537,WI
zip3,538,WI
zip3,539,WI
zip3,540,WI
zip3,541,WI
zip3,542,WI
zip3,543,WI
zip3,544,WI
zip3,545,WI
zip3,546,WI
zip3,547,WI
zip3,548,WI
zip3,549,WI
zip3,550,MN
zip3,551,MN
zip3,553,MN
zip3,554,MN
zip3,556,MN
zip3,557,MN
zip3,558,MN
zip3,559,MN
zip3,560,MN
zip3,561,MN
zip3,562,MN
zip3,563,MN
zip3,564,MN
zip3,565,MN
zip3,566,MN
zip3,567,MN
zip3,570,SD
zip3,571,SD
zip3,572,SD
zip3,573,SD
zip3,574,SD
zip3,575,SD
zip3,576,SD
zip3,577,SD
zip3,580,ND
zip3,581,ND
zip3,582,ND
zip3,583,ND
zip3,584,ND
zip3,585,ND
zip3,586,ND
zip3,587,ND
zip3,588,ND
zip3,590,MT
zip3,591,MT
zip3,592,MT
zip3,593,MT
zip3,594,MT
zip3,595,MT
zip3,596,MT
zip3,597,MT
zip3,598,MT
zip3,599,MT
zip3,600,IL
zip3,601,IL
zip3,602,IL
zip3,603,IL
zip3,604,IL
zip3,605,IL
zip3,606,IL
zip3,607,IL
zip3,608,IL
zip3,609,IL
zip3,610,IL
zip3,611,IL
zip3,612,IL
zip3,613,IL
zip3,614,IL
zip3,615,IL
zip3,616,IL
zip3,617,IL
zip3,618,IL
zip3,619,IL
zip3,620,IL
zip3,622,IL
zip3,623,IL
zip3,624,IL
zip3,625,IL
zip3,626,IL
zip3,627,IL
zip3,628,IL
zip3,629,IL
zip3,630,MO
zip3,631,MO
zip3,633,MO
zip3,634,MO
zip3,635,MO
zip3,636,MO
zip3,637,MO
zip3,638,MO
zip3,639,MO
zip3,640,MO
zip3,641,MO
zip3,644,MO
zip3,645,MO
zip3,646,MO
zip3,647,MO
zip3,648,MO
zip3,650,MO
zip3,651,MO
zip3,652,MO
zip3,653,MO
zip3,654,MO
zip3,655,MO
zip3,656,MO
zip3,657,MO
zip3,658,MO
zip3,660,KS
zip3,661,KS
zip3,662,KS
zip3,664,KS
zip3,665,KS
zip3,666,KS
zip3,667,KS
zip3,668,KS
zip3,669,KS
zip3,670,KS
zip3,671,KS
zip3,672,KS
zip3,673,KS
zip3,674,KS
zip3,675,KS
zip3,676,KS
zip3,677,KS
zip3,678,KS
zip3,679,KS
zip3,680,NE
zip3,681,NE
zip3,683,NE
zip3,684,NE
zip3,685,NE
zip3,686,NE
zip3,687,NE
zip3,688,NE
zip3,689,NE
zip3,690,NE
zip3,691,NE
zip3,692,NE
zip3,693,NE
zip3,700,LA
zip3,701,LA
zip3,703,LA
zip3,704,LA
zip3,705,LA
zip3,706,LA
zip3,707,LA
zip3,708,LA
zip3,710,LA
zip3,711,LA
zip3,712,LA
zip3,713,LA
zip3,714,LA
zip3,716,AR
zip3,717,AR
