regionname,regiontype,regionlongitude,regionlatitude
156,zip3,-79.468878,40.326954
157,zip3,-79.013534,40.723727
158,zip3,-78.640724,41.322739
159,zip3,-78.853823,40.338203
160,zip3,-79.898164,40.932688
161,zip3,-80.303844,41.197141
162,zip3,-79.376521,41.052785
163,zip3,-79.533304,41.607551
164,zip3,-80.032932,41.879273
165,zip3,-80.042756,42.090548
166,zip3,-78.282799,40.487487
167,zip3,-78.445034,41.763662
168,zip3,-77.988392,40.978323
169,zip3,-77.367172,41.786278
170,zip3,-77.127030,40.421894
171,zip3,-76.808211,40.326211
172,zip3,-77.793180,39.989566
173,zip3,-76.923579,39.884246
174,zip3,-76.708295,39.974164
175,zip3,-76.223092,40.047367
176,zip3,-76.307573,40.036221
177,zip3,-77.186017,41.334990
178,zip3,-76.775629,40.931210
179,zip3,-76.273746,40.691730
180,zip3,-75.449637,40.669703
181,zip3,-75.514456,40.599048
182,zip3,-75.873699,40.901533
183,zip3,-75.173454,41.119629
184,zip3,-75.382341,41.531917
185,zip3,-75.656753,41.405013
186,zip3,-76.093157,41.363848
187,zip3,-75.890653,41.201410
188,zip3,-76.130769,41.819903
189,zip3,-75.161469,40.365957
190,zip3,-75.172961,40.056737
191,zip3,-75.137641,40.006924
193,zip3,-75.768998,39.925484
194,zip3,-75.468607,40.185558
195,zip3,-75.902498,40.416130
196,zip3,-75.947643,40.340265
197,zip3,-75.672978,39.546027
198,zip3,-75.581729,39.769724
199,zip3,-75.468692,38.836034
200,zip3,-77.038206,38.910244
201,zip3,-77.678031,38.907247
206,zip3,-76.773976,38.448399
207,zip3,-76.786383,38.886389
208,zip3,-77.232055,39.151637
209,zip3,-77.012496,39.063309
210,zip3,-76.533034,39.394928
211,zip3,-76.722184,39.510098
212,zip3,-76.588440,39.315799
214,zip3,-76.503533,38.991272
215,zip3,-79.071676,39.562185
216,zip3,-75.998720,38.868263
217,zip3,-77.496667,39.521136
218,zip3,-75.589354,38.259701
219,zip3,-75.938027,39.574487
220,zip3,-77.268309,38.795872
221,zip3,-77.315271,38.720813
222,zip3,-77.101051,38.878621
223,zip3,-77.102399,38.777206
224,zip3,-77.008016,38.107714
225,zip3,-77.235145,38.078786
226,zip3,-78.245571,39.034642
227,zip3,-78.065844,38.494374
228,zip3,-78.795520,38.567605
229,zip3,-78.568621,38.016867
230,zip3,-77.550943,37.637663
231,zip3,-77.320031,37.601203
232,zip3,-77.453752,37.510403
233,zip3,-76.112430,37.058648
234,zip3,-76.264622,37.007359
235,zip3,-76.255938,36.894666
236,zip3,-76.460550,37.120467
237,zip3,-76.353706,36.848360
238,zip3,-77.402644,36.945049
239,zip3,-78.384130,37.038541
240,zip3,-80.071797,37.157648
241,zip3,-80.114931,37.078974
242,zip3,-82.473994,36.842166
243,zip3,-81.127417,36.857068
244,zip3,-79.524482,38.042317
245,zip3,-79.112562,37.143373
246,zip3,-81.799211,37.197781
247,zip3,-81.165710,37.403680
248,zip3,-81.645645,37.471455
249,zip3,-80.315577,37.964744
250,zip3,-81.435456,38.293856
251,zip3,-81.584454,38.276349
252,zip3,-81.471846,38.722846
253,zip3,-81.631436,38.397163
254,zip3,-78.097895,39.449698
255,zip3,-82.178350,38.267270
256,zip3,-82.057980,37.766627
257,zip3,-82.437345,38.367753
258,zip3,-81.143068,37.827783
259,zip3,-80.966420,37.809165
260,zip3,-80.634891,40.032835
261,zip3,-81.267555,39.210066
262,zip3,-80.028918,38.750652
263,zip3,-80.571785,39.174761
264,zip3,-80.420031,39.211377
265,zip3,-80.062683,39.583773
266,zip3,-80.806323,38.478361
267,zip3,-79.000518,39.339077
268,zip3,-79.087414,38.897307
270,zip3,-80.448585,36.246775
271,zip3,-80.246801,36.073793
272,zip3,-79.712201,35.860379
273,zip3,-79.567951,35.824575
274,zip3,-79.818124,36.070102
275,zip3,-78.538000,35.937486
276,zip3,-78.637220,35.807920
277,zip3,-78.887320,35.996430
278,zip3,-77.305483,35.876728
279,zip3,-76.433185,36.105757
280,zip3,-81.005977,35.360405
281,zip3,-80.738631,35.250423
282,zip3,-80.830272,35.211289
283,zip3,-78.917961,34.950324
284,zip3,-78.224466,34.378622
285,zip3,-77.249750,35.047978
286,zip3,-81.352845,36.058954
287,zip3,-82.824297,35.503421
288,zip3,-82.545515,35.587236
289,zip3,-83.963486,35.108944
290,zip3,-80.808306,33.999224
291,zip3,-80.915031,33.936979
292,zip3,-80.961814,34.052906
293,zip3,-81.860270,34.778672
294,zip3,-80.081374,33.055410
295,zip3,-79.498608,34.069174
296,zip3,-82.562786,34.613786
297,zip3,-80.939879,34.837849
298,zip3,-81.723687,33.478672
299,zip3,-80.958574,32.546677
300,zip3,-84.064687,33.848491
301,zip3,-84.906110,34.041901
302,zip3,-84.546640,33.241384
303,zip3,-84.422975,33.771825
304,zip3,-82.120596,32.481483
305,zip3,-83.800277,34.579212
306,zip3,-83.138037,33.856525
307,zip3,-85.108697,34.708274
308,zip3,-82.320815,33.336119
309,zip3,-82.067354,33.396720
310,zip3,-83.407535,32.637616
312,zip3,-83.635148,32.837576
313,zip3,-81.488536,31.915272
314,zip3,-81.121248,31.999261
315,zip3,-82.194785,31.291731
316,zip3,-83.093031,30.967077
317,zip3,-83.857576,31.474331
318,zip3,-84.691903,32.445356
319,zip3,-84.843929,32.431709
320,zip3,-82.428244,30.220635
321,zip3,-81.527528,29.375808
322,zip3,-81.689441,30.307576
323,zip3,-84.195887,30.256109
324,zip3,-85.571992,30.526447
325,zip3,-86.933952,30.717458
326,zip3,-82.608793,29.584650
327,zip3,-81.289427,28.804543
328,zip3,-81.187321,28.499927
329,zip3,-80.652731,27.969566
330,zip3,-80.514842,25.554836
331,zip3,-80.404659,25.728965
333,zip3,-80.264107,26.119143
334,zip3,-80.705981,26.723264
335,zip3,-82.209026,28.210174
336,zip3,-82.457926,28.014609
337,zip3,-82.722697,27.855481
338,zip3,-81.641993,27.722512
339,zip3,-81.692604,26.753889
341,zip3,-81.341896,26.137007
342,zip3,-82.151362,27.277905
344,zip3,-82.377858,29.035507
346,zip3,-82.525400,28.408283
347,zip3,-81.392048,28.266876
349,zip3,-80.710277,27.300565
350,zip3,-86.692754,33.466240
351,zip3,-86.522960,33.445073
352,zip3,-86.768128,33.498352
354,zip3,-87.851652,33.087000
355,zip3,-87.708511,33.956751
356,zip3,-87.399264,34.664775
357,zip3,-86.278531,34.752887
358,zip3,-86.594289,34.698295
359,zip3,-85.923146,34.272293
360,zip3,-86.100124,32.076274
361,zip3,-86.269460,32.318093
362,zip3,-85.647728,33.526617
363,zip3,-85.558503,31.338135
364,zip3,-86.989882,31.386389
365,zip3,-87.946616,31.039193
366,zip3,-88.195219,30.690362
367,zip3,-87.375824,32.332532
368,zip3,-85.388332,32.613570
369,zip3,-88.256833,32.128411
370,zip3,-86.986928,36.100648
371,zip3,-86.660596,36.013289
372,zip3,-86.827122,36.134646
373,zip3,-85.357938,35.313610
374,zip3,-85.302671,35.070099
376,zip3,-82.296983,36.358969
377,zip3,-83.821642,36.104089
378,zip3,-83.839405,36.091150
379,zip3,-83.963804,35.967852
380,zip3,-89.411057,35.538714
381,zip3,-89.964011,35.121226
382,zip3,-88.684169,36.297411
383,zip3,-88.510311,35.606188
384,zip3,-87.355111,35.339128
385,zip3,-85.327583,36.169749
386,zip3,-89.772449,34.567516
387,zip3,-90.804911,33.534355
388,zip3,-88.628972,34.355016
389,zip3,-89.908379,33.772665
390,zip3,-90.085236,32.500191
391,zip3,-90.331350,32.367396
392,zip3,-90.205986,32.313286
393,zip3,-88.809364,32.421665
394,zip3,-89.268791,31.236733
395,zip3,-89.028622,30.568755
396,zip3,-90.693838,31.315793
397,zip3,-88.857227,33.521270
398,zip3,-84.666323,31.318869
400,zip3,-85.290671,38.047613
401,zip3,-86.156403,37.858386
402,zip3,-85.654750,38.186249
403,zip3,-84.245326,38.069343
404,zip3,-84.397597,37.532184
405,zip3,-84.455401,38.037218
406,zip3,-84.882345,38.232950
407,zip3,-84.124032,36.938142
408,zip3,-83.279776,36.886832
409,zip3,-83.725669,36.961033
410,zip3,-84.323380,38.658084
411,zip3,-83.064726,38.375413
412,zip3,-82.678292,37.892591
413,zip3,-83.477263,37.568107
414,zip3,-83.173149,37.847627
415,zip3,-82.403727,37.459988
416,zip3,-82.760587,37.550574
417,zip3,-83.238404,37.228114
418,zip3,-82.885351,37.234852
420,zip3,-88.566267,36.899129
421,zip3,-86.088292,36.887094
422,zip3,-87.140273,36.930353
423,zip3,-87.017286,37.516125
424,zip3,-87.696098,37.464042
425,zip3,-84.689625,37.152907
426,zip3,-84.807072,36.808427
427,zip3,-85.732383,37.315417
430,zip3,-82.913765,40.201078
431,zip3,-82.993971,39.676516
432,zip3,-82.982558,39.988885
433,zip3,-83.390694,40.550294
434,zip3,-83.301175,41.420746
435,zip3,-84.219589,41.458506
436,zip3,-83.545638,41.658379
437,zip3,-81.664024,39.848632
438,zip3,-81.892062,40.261502
439,zip3,-80.899825,40.246048
440,zip3,-81.284049,41.548895
441,zip3,-81.666901,41.420066
442,zip3,-81.592745,41.125362
443,zip3,-81.551456,41.074469
444,zip3,-80.776140,41.094195
445,zip3,-80.666194,41.064402
446,zip3,-81.524403,40.649871
447,zip3,-81.364174,40.821411
448,zip3,-82.755765,41.008471
449,zip3,-82.548982,40.745842
450,zip3,-84.467487,39.432267
451,zip3,-83.837589,39.152821
452,zip3,-84.475954,39.179097
453,zip3,-84.302190,39.971422
454,zip3,-84.179025,39.749732
455,zip3,-83.813985,39.928830
456,zip3,-82.857210,38.971186
457,zip3,-81.789671,39.353049
458,zip3,-84.230843,40.825785
460,zip3,-86.133705,40.169797
461,zip3,-86.174697,39.619932
462,zip3,-86.140458,39.784069
463,zip3,-87.051807,41.411068
464,zip3,-87.336155,41.552554
465,zip3,-86.087000,41.432517
466,zip3,-86.298160,41.660402
467,zip3,-85.214140,41.172953
468,zip3,-85.159498,41.084570
469,zip3,-86.139212,40.762152
470,zip3,-85.087459,39.151402
471,zip3,-86.038030,38.423459
472,zip3,-85.742925,39.042993
473,zip3,-85.152530,40.084066
474,zip3,-86.648718,39.000521
475,zip3,-87.021244,38.479682
476,zip3,-87.497193,38.128463
477,zip3,-87.590303,38.016464
478,zip3,-87.286591,39.438191
479,zip3,-87.106929,40.492922
480,zip3,-82.804666,42.836630
481,zip3,-83.633003,42.204963
482,zip3,-83.113999,42.382841
483,zip3,-83.349321,42.660576
484,zip3,-83.216887,43.292972
485,zip3,-83.690721,43.022079
486,zip3,-84.362998,44.006513
487,zip3,-83.563190,44.036868
488,zip3,-84.679135,43.022759
489,zip3,-84.582347,42.733819
490,zip3,-85.545436,42.201187
491,zip3,-86.351832,41.870905
492,zip3,-84.353402,42.049329
493,zip3,-85.557150,43.330479
494,zip3,-86.140408,43.385054
495,zip3,-85.661625,42.955800
496,zip3,-85.518023,44.447473
497,zip3,-84.501368,45.532361
498,zip3,-86.941914,46.175611
499,zip3,-88.923715,46.656542
500,zip3,-93.933877,41.609334
501,zip3,-93.456755,41.581335
502,zip3,-93.612092,41.618571
503,zip3,-93.624097,41.596542
504,zip3,-93.373029,43.166169
505,zip3,-94.447690,42.768172
506,zip3,-92.457006,42.664059
507,zip3,-92.301438,42.483894
508,zip3,-94.551779,40.965969
510,zip3,-95.898119,42.598204
511,zip3,-96.362382,42.515440
512,zip3,-96.045654,43.277154
513,zip3,-95.130742,43.266450
514,zip3,-95.084815,42.109438
515,zip3,-95.543797,41.446988
516,zip3,-95.354656,40.743102
520,zip3,-90.978536,42.460059
521,zip3,-91.740445,43.206325
522,zip3,-91.762968,41.899887
523,zip3,-91.746249,41.869074
524,zip3,-91.675171,41.967772
525,zip3,-92.450858,40.946093
526,zip3,-91.425243,40.888394
527,zip3,-90.874921,41.647260
528,zip3,-90.616333,41.567472
530,zip3,-88.240845,43.509754
531,zip3,-88.325534,42.755645
532,zip3,-87.972245,43.063948
534,zip3,-87.834991,42.749139
535,zip3,-89.678343,42.942529
537,zip3,-89.382417,43.074322
538,zip3,-90.739809,42.880826
539,zip3,-89.547699,43.635561
540,zip3,-92.471052,45.095569
541,zip3,-88.247433,45.082555
542,zip3,-87.572992,44.558196
543,zip3,-88.001603,44.526576
544,zip3,-89.836269,44.932319
545,zip3,-89.825372,45.876947
546,zip3,-90.872680,43.941616
547,zip3,-91.519319,44.862772
548,zip3,-91.605824,46.059119
549,zip3,-88.954260,44.195267
550,zip3,-92.985986,45.168339
551,zip3,-93.078940,44.963456
553,zip3,-94.058202,44.994671
554,zip3,-93.316991,45.010517
556,zip3,-91.107095,47.643225
557,zip3,-92.791692,47.292392
558,zip3,-92.091005,46.970505
559,zip3,-92.270976,43.892511
560,zip3,-94.020436,44.013006
561,zip3,-95.663969,43.936341
562,zip3,-95.714259,45.075800
563,zip3,-94.648715,45.815674
564,zip3,-94.516640,46.628002
565,zip3,-96.083883,46.854780
566,zip3,-94.323525,47.900175
567,zip3,-96.269246,48.405631
570,zip3,-97.057633,43.473639
571,zip3,-96.750027,43.553169
572,zip3,-97.169964,45.045696
573,zip3,-98.509301,43.916163
574,zip3,-98.905848,45.358547
575,zip3,-100.641344,43.834826
576,zip3,-101.604615,45.392343
577,zip3,-103.136587,44.263295
580,zip3,-97.387889,46.654952
581,zip3,-96.854712,46.855739
582,zip3,-97.729528,48.257829
583,zip3,-99.344598,48.320484
584,zip3,-99.127158,46.881163
585,zip3,-101.022849,46.706324
586,zip3,-102.984376,46.753693
587,zip3,-101.643794,48.352316
588,zip3,-103.517625,48.161202
590,zip3,-108.505798,45.923553
591,zip3,-108.419271,45.681161
592,zip3,-105.641766,48.230357
593,zip3,-105.610134,46.443153
594,zip3,-111.297467,47.798549
595,zip3,-109.149438,48.388557
596,zip3,-111.645041,46.621305
